Station Name,Station,Stn Code,"Old Station
Category","New Station
Category",Division,Zone,District,State
BHORAS BUDRUKH (BFJ),BHORAS BUDRUKH,BFJ,F,HG2,BSL,CR,JALGAON,MAHARASHTRA
JAMNER (JMNR),JAMNER,JMNR,E,HG2,BSL,CR,JALGAON,MAHARASHTRA
ANJANGAON (ANJ),ANJANGAON,ANJ,E,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
BANOSA (BASA),BANOSA,BASA,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
BHADSIVNI (BDKE),BHADSIVNI,BDKE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
BHAGDARA (BGR),BHAGDARA,BGR,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
BORVIHIR (BRVR),BORVIHIR,BRVR,F,HG3,BSL,CR,DHULE,MAHARASHTRA
CHAMAK (CMK),CHAMAK,CMK,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
DARWHA MOTI BAGH JN. (DWM),DARWHA MOTI BAGH JN.,DWM,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
KAPUSTALNI (KTNI),KAPUSTALNI,KTNI,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KARANJA (KRJA),KARANJA,KRJA,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
KARANJA TOWN (KRJT),KARANJA TOWN,KRJT,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
KHUSTA BUZURG (KSBG),KHUSTA BUZURG,KSBG,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KINKHED (KQV),KINKHED,KQV,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
KOHDAD (KDK),KOHDAD,KDK,F,HG3,BSL,CR,EAST NIMAR,MADHYA PRADESH
KOKALDA (KXD),KOKALDA,KXD,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KOLHADI (KLHD),KOLHADI,KLHD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
LADKHED (LDD),LADKHED,LDD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
LAKHPURI (LPU),LAKHPURI,LPU,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
LASINA (LSN),LASINA,LSN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
LEHGAON (LGN),LEHGAON,LGN,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
LING (LING),LING,LING,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
MANDURA (MNDA),MANDURA,MNDA,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
MOHADI PRAGANE LALIN (MHAD),MOHADI PRAGANE LALIN,MHAD,F,HG3,BSL,CR,DHULE,MAHARASHTRA
MORDAD TANDA (MWK),MORDAD TANDA,MWK,F,HG3,BSL,CR,DHULE,MAHARASHTRA
MURTIZAPUR TOWN (MZRT),MURTIZAPUR TOWN,MZRT,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
NOWBAGH (NBGH),NOWBAGH,NBGH,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
PAHUR (PHU),PAHUR,PHU,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
PIMPALGAON (PMGN),PIMPALGAON,PMGN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
POHE (POHE),POHE,POHE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
RAJMANE (RM),RAJMANE,RM,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
SANGWI (SWQ),SANGWI,SWQ,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
SHENDURNI (SDRN),SHENDURNI,SDRN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
SHIRALA (SIRL),SHIRALA,SIRL,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
SOMTHAN (SMTN),SOMTHAN,SMTN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
TAPONA (TPN),TAPONA,TPN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
VARKHEDI (VRKD),VARKHEDI,VRKD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
VILEGAON (VLN),VILEGAON,VLN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
WARUDKHED (WRD),WARUDKHED,WRD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
PADLI (PI),PADLI,PI,NA,"Not open for passenger
traffic",BSL,CR,NASHIK,MAHARASHTRA
SAGPHATA (SXA),SAGPHATA,SXA,NA,"Not open for passenger
traffic",BSL,CR,BURHANPUR,MADHYA PRADESH
NASHIK ROAD (NK),NASHIK ROAD,NK,A1,NSG2,BSL,CR,NASHIK,MAHARASHTRA
AKOLA JN. (AK),AKOLA JN.,AK,A,NSG3,BSL,CR,AKOLA,MAHARASHTRA
AMRAVATI (AMI),AMRAVATI,AMI,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
BADNERA JN. (BD),BADNERA JN.,BD,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
BHUSAVAL JN. (BSL),BHUSAVAL JN.,BSL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
JALGAON JN (JL),JALGAON JN,JL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
KHANDWA (KNW),KHANDWA,KNW,A,NSG3,BSL,CR,EAST NIMAR,MADHYA PRADESH
MANMAD JN. (MMR),MANMAD JN.,MMR,A,NSG3,BSL,CR,NASHIK,MAHARASHTRA
SHEGAON (SEG),SHEGAON,SEG,A,NSG3,BSL,CR,BULDHANA,MAHARASHTRA
BURHANPUR (BAU),BURHANPUR,BAU,B,NSG4,BSL,CR,BURHANPUR,MADHYA PRADESH
CHALISGAON JN (CSN),CHALISGAON JN,CSN,B,NSG4,BSL,CR,JALGAON,MAHARASHTRA
MALKAPUR (MKU),MALKAPUR,MKU,B,NSG4,BSL,CR,BULDHANA,MAHARASHTRA
BODWAD (BDWD),BODWAD,BDWD,A,NSG5,BSL,CR,JALGAON,MAHARASHTRA
DEVLALI (DVL),DEVLALI,DVL,B,NSG5,BSL,CR,NASHIK,MAHARASHTRA
DHULE (DHI),DHULE,DHI,E,NSG5,BSL,CR,DHULE,MAHARASHTRA
